Date,MinTemp,MaxTemp,Humidity,Rainfall,Sunshine,WindGustSpeed,WindGustDir,Rain,RainTomorrow
11/1/2021,23.4,32,96,44.2,4.3,2,260,hujan sedang,hujan sedang
11/2/2021,23.5,31.8,96,32.5,1.8,3,180,hujan sedang,hujan sedang
11/3/2021,23.2,32,87,24.5,1.7,2,160,hujan sedang,hujan sedang
11/4/2021,24,32,87,13.3,3.8,2,180,hujan ringan,hujan sedang
11/5/2021,24.2,31.6,87,0.5,6.6,2,180,hujan ringan,hujan sedang
11/6/2021,23.6,32,90,9.9,5,2,180,hujan ringan,hujan sedang
11/7/2021,,31.6,89,8888,3.3,2,180,hujan ekstrem,hujan sedang
11/8/2021,24,29.2,92,3.8,0.5,2,180,hujan ringan,hujan sedang
11/9/2021,24,32.4,86,14.3,0,3,200,hujan ringan,hujan sedang
11/10/2021,23.2,28,98,27.2,7.2,2,180,hujan sedang,hujan sedang
11/11/2021,24,26.4,98,50.8,0,2,360,hujan lebat,hujan sedang
11/12/2021,23.4,26,97,16,0,3,200,hujan ringan,hujan sedang
11/13/2021,22.8,31,90,44.6,0,2,180,hujan sedang,hujan sedang
11/14/2021,23,29.4,94,1.7,6.8,3,180,hujan ringan,hujan sedang
11/15/2021,23.2,29.8,93,3.7,0.5,2,270,hujan ringan,hujan sedang
11/16/2021,23.6,30.4,92,28,2.1,3,200,hujan sedang,hujan sedang
11/17/2021,23.2,30.2,91,99.6,1.2,3,200,hujan lebat,hujan sedang
11/18/2021,23,31.4,91,6.1,2.9,2,180,hujan ringan,hujan sedang
11/19/2021,23.8,31.4,96,3.4,4.3,2,180,hujan ringan,hujan sedang
11/20/2021,23.8,30,90,25,2.3,3,180,hujan sedang,hujan sedang
11/21/2021,23.8,32.4,86,0,0,2,60,berawan,hujan sedang
11/22/2021,24.8,30.8,90,0,2.4,3,180,berawan,hujan sedang
11/23/2021,23.8,29.6,92,17,1.9,4,180,hujan ringan,hujan sedang
11/24/2021,24.2,31.4,85,0,1.3,2,180,berawan,hujan sedang
11/25/2021,23.8,31.4,82,,2.1,2,180,berawan,hujan sedang
11/26/2021,24.2,31.4,88,3.5,5.9,2,200,hujan ringan,hujan sedang
11/27/2021,24,26.6,95,13.4,4.4,2,180,hujan ringan,hujan sedang
11/28/2021,23,28.6,90,12.5,0,2,260,hujan ringan,hujan sedang
11/29/2021,22.8,31.2,84,0,0,3,180,berawan,hujan sedang
11/30/2021,22.4,32.3,84,0,6,4,240,berawan,hujan sedang
10/1/2021,23.8,31.2,81,0,7.4,3,300,berawan,hujan sedang
10/2/2021,23,31.6,80,,7.2,4,200,berawan,hujan sedang
10/3/2021,24,30.8,79,0,8.7,4,240,berawan,hujan sedang
10/4/2021,23.4,29.6,82,0,7.4,3,180,berawan,hujan sedang
10/5/2021,22.8,30.2,81,0.2,2.2,3,180,hujan ringan,hujan sedang
10/6/2021,23.6,30,77,0,5.7,4,200,berawan,hujan sedang
10/7/2021,22,31,76,0,4.2,4,180,berawan,hujan sedang
10/8/2021,22.6,29.6,82,0,8.2,3,200,berawan,hujan sedang
10/9/2021,23.4,31.2,80,0.5,4.4,2,180,hujan ringan,hujan sedang
10/10/2021,23,32.2,81,0,7.5,2,180,berawan,hujan sedang
10/11/2021,24,30.6,85,0.5,8.5,2,180,hujan ringan,hujan sedang
10/12/2021,23,31.6,81,0,5.8,3,300,berawan,hujan sedang
10/13/2021,23.8,31.4,75,0,7.5,4,240,berawan,hujan sedang
10/14/2021,,30.6,80,8888,6.2,3,200,hujan ekstrem,hujan sedang
10/15/2021,23.6,31.4,85,0,1.7,2,180,berawan,hujan sedang
10/16/2021,24.6,31.8,80,,4.1,3,180,berawan,hujan sedang
10/17/2021,24.2,32,79,,3.7,2,200,berawan,hujan sedang
10/18/2021,24.2,34.2,84,8888,7.1,4,180,hujan ekstrem,hujan sedang
10/19/2021,23.5,32,86,29.8,7.3,3,180,hujan sedang,hujan sedang
10/20/2021,24.2,33.6,82,1.2,5.6,4,180,hujan ringan,hujan sedang
10/21/2021,24.4,32.8,85,0,8,3,180,berawan,hujan sedang
10/22/2021,25,31.2,84,0,8.6,3,180,berawan,hujan sedang
10/23/2021,23.6,31.8,86,7.7,5.1,2,180,hujan ringan,hujan sedang
10/24/2021,23.3,31.6,80,0,4.9,3,200,berawan,hujan sedang
10/25/2021,24.8,31.2,83,0,5.2,3,200,berawan,hujan sedang
10/26/2021,24.8,31.8,85,,7.4,4,180,berawan,hujan sedang
10/27/2021,24,30.6,92,7.2,7.8,2,200,hujan ringan,hujan sedang
10/28/2021,23.6,32,89,4.8,1.1,3,200,hujan ringan,hujan sedang
10/29/2021,24.6,31.2,90,3.2,3.3,4,240,hujan ringan,hujan sedang
10/30/2021,23.9,30.2,90,8888,6.4,3,180,hujan ekstrem,hujan sedang
10/31/2021,24,31.4,90,2,1,4,180,hujan ringan,hujan sedang
